timestamp,content_airframe_registration,content_airframe_type_icao_value,content_airframe_wtc,content_arrival_aerodrome_actual_icao_value,content_arrival_aerodrome_scheduled_icao_value,content_arrival_time_inBlock_actual,content_arrival_time_landing_estimated,content_arrival_time_landing_scheduled,content_carrier_icao_quality,content_carrier_icao_value,content_departure_aerodrome_actual_icao_value,content_departure_aerodrome_scheduled_icao_value,content_departure_time_offBlock_estimated,content_departure_time_takeoff_actual,content_departure_time_takeoff_planned,content_departure_time_takeoff_scheduled,content_gufi,content_identification_callsign_quality,content_identification_callsign_value,content_identification_iataFlightNumber_quality,content_identification_iataFlightNumber_value,content_identification_squawk,content_movement_altitude_gps,content_movement_direction_heading,content_movement_position_lat,content_movement_position_lon,content_movement_speed_ground,content_movement_timestamp,content_movement_type,content_route_cruisingAltitude,content_route_cruisingSpeed,content_route_initialFlightRules,content_route_text,content_status
2017-03-01T23:00:41.891Z,,DH8D,MEDIUM,,EGPD,,2017-03-01T17:40:00Z,2017-03-01T17:40:00Z,DERIVED,BEE,,EGCC,,,2017-03-01T16:50:00Z,2017-03-01T16:50:00Z,4f0da3ad-db1f-4224-a762-efb12600fca2,,,DERIVED,BE1043,,,,,,,,,,278,,,SCHEDULED
2017-03-01T23:53:04.115Z,GECOA,DH8D,MEDIUM,EGBB,,,2017-03-01T11:30:00Z,,RECEIVED,BEE,EDDL,,2017-03-01T09:15:00Z,,,,4664d1db-cd2d-49a4-a889-72ec490b0f7f,RECEIVED,BEE2BY,,,,,,,,,,,,,IFR,N0315F240 MODRU6Z MODRU Z717 GOBNO UZ717 MAS UM617 SOGRI UL608 SASKI UL179 GILTI L179 LAM/N0316F200 L610 HEMEL T420 BUZAD/N0308F160,PLANNED
2017-03-01T23:58:00.550Z,GFBJD,E170,MEDIUM,LFPG,,,2017-03-01T07:54:00Z,,RECEIVED,BEE,EGCC,,2017-03-01T06:35:00Z,,,,af01ced9-890d-4a1c-9fa3-28121b0e84fd,RECEIVED,BEE238D,,,,,,,,,,,,,IFR,N0396F310 SANBA N859 HON UL612 WOD UM605 SFD/N0361F250 UM605 BIBAX/N0299F130,PLANNED
2017-03-01T22:13:41.376Z,GECOC,DH8D,MEDIUM,EGPD,,,2017-02-28T13:12:00Z,,RECEIVED,BEE,EGCC,,2017-02-28T11:45:00Z,,,,a5740a6d-71f0-4222-9910-16c6ad3bd677,RECEIVED,BEE5EC,,,,,,,,,,,,,IFR,N0311F240 POL N601 GRICE/N0240F230 P600 ADN DCT,PLANNED
2017-03-01T23:26:52.588Z,,E170,MEDIUM,,EGHQ,,2017-03-01T14:55:00Z,2017-03-01T14:55:00Z,DERIVED,BEE,,EGCC,,,2017-03-01T14:05:00Z,2017-03-01T14:05:00Z,a5b30200-f790-4887-9be7-cb94f7482cae,,,DERIVED,BE355,,,,,,,,,,242,,,SCHEDULED
2017-03-01T22:31:30.868Z,,,,,,,,,DERIVED,BEE,,,,,,,4e96186d-165d-4fbc-b1bf-33dbfa2cae9a,RECEIVED,BEE852,,,,,178,52.45386,-1.74803,,2017-03-01T00:05:02Z,ESTIMATED,,,,,AIRBORNE
2017-03-01T21:24:59.448Z,,,,,,,,,DERIVED,BEE,,,,,,,4e96186d-165d-4fbc-b1bf-33dbfa2cae9a,RECEIVED,BEE852,,,,,178,52.45386,-1.74803,,2017-02-28T22:08:02Z,ESTIMATED,,,,,AIRBORNE
2017-03-01T20:39:10.423Z,GJECL,DH8D,MEDIUM,EGHI,,,2017-02-28T22:39:14Z,,DERIVED,BEE,EGCC,,,2017-02-28T21:54:14Z,,,41e247fd-afad-4d88-ace8-7773ef0f76ca,RECEIVED,BEE874,,,,,,,,,,,,198,,,AIRBORNE
2017-03-01T21:22:22.059Z,GFBJE,E170,MEDIUM,LFPG,,,2017-02-28T12:59:00Z,,RECEIVED,BEE,EGCC,,2017-02-28T11:35:00Z,,,,273cfab1-5fdb-4b9f-865f-6645160a0952,RECEIVED,BEE439N,,,,,,,,,,,,,IFR,N0397F310 SANBA N859 HON UL612 IXURA/N0415F330 UL612 WOD UM605 SFD/N0353F250 UM605 BIBAX/N0294F130,PLANNED
2017-03-01T21:24:14.091Z,GFBJB,E170,MEDIUM,EHAM,,,2017-02-28T07:51:00Z,,RECEIVED,BEE,EGBB,,2017-02-28T06:50:00Z,,,,46ee2719-3cf4-450f-a594-89ca105ed1c4,RECEIVED,BEE52H,,,,,,,,,,,,,IFR,N0382F290 UNGAP P155 SIVDA DCT REDFA/N0321F190,PLANNED
2017-03-01T23:33:28.744Z,,DH8D,MEDIUM,,EGBB,,2017-03-01T07:24:00Z,2017-03-01T07:24:00Z,DERIVED,BEE,,EDDL,,,2017-03-01T05:45:00Z,2017-03-01T05:45:00Z,5e2a5c15-aff6-4813-a6e6-90d3b757eddb,RECEIVED,BEE7040,,,,,,,,,,,,185,,,PLANNED
2017-03-01T22:34:05.841Z,,DH8D,MEDIUM,,EGHI,,2017-03-01T19:30:00Z,2017-03-01T19:30:00Z,DERIVED,BEE,,EGCC,,,2017-03-01T18:45:00Z,2017-03-01T18:45:00Z,8ed57be5-2474-4844-ab73-ca1cc77f3e7e,,,DERIVED,BE872,,,,,,,,,,198,,,SCHEDULED
